split,class_name,video_path,video_id,fps_original,frame_count,duration_seconds,width,height
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_102.mp4,test__hurto_simulado__shop_lifter_102,25.0,475,19.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_17.mp4,test__hurto_simulado__shop_lifter_17,24.75,396,16.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_30.mp4,test__hurto_simulado__shop_lifter_30,24.75,372,15.030303,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_38.mp4,test__hurto_simulado__shop_lifter_38,24.75,495,20.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_40.mp4,test__hurto_simulado__shop_lifter_40,24.75,396,16.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_44.mp4,test__hurto_simulado__shop_lifter_44,24.75,396,16.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_46.mp4,test__hurto_simulado__shop_lifter_46,24.75,322,13.010101,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_49.mp4,test__hurto_simulado__shop_lifter_49,24.75,347,14.020202,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_55.mp4,test__hurto_simulado__shop_lifter_55,24.75,198,8.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_56.mp4,test__hurto_simulado__shop_lifter_56,24.75,223,9.010101,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_66.mp4,test__hurto_simulado__shop_lifter_66,24.75,273,11.030303,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_68.mp4,test__hurto_simulado__shop_lifter_68,24.75,198,8.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_7.mp4,test__hurto_simulado__shop_lifter_7,24.75,297,12.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_80.mp4,test__hurto_simulado__shop_lifter_80,24.75,223,9.010101,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_82.mp4,test__hurto_simulado__shop_lifter_82,24.75,273,11.030303,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_94.mp4,test__hurto_simulado__shop_lifter_94,25.0,375,15.0,704,576
test,hurto_simulado,data/test/hurto_simulado/shop_lifter_95.mp4,test__hurto_simulado__shop_lifter_95,25.0,400,16.0,704,576
