model_run_name,global_epoch,phase_name,phase_epoch,learning_rate,trainable_params,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
modelo_2,1,head,1,0.00075,4098,0.6759438734305533,0.54,0.1,0.01639344262295082,0.028169014084507043,0.5781093090772629,0.627906976744186,1.0,0.1111111111111111,0.2
modelo_2,2,head,2,0.00075,4098,0.5759368131035253,0.7266666666666667,0.7380952380952381,0.5081967213114754,0.6019417475728155,0.5469489792982737,0.7674418604651163,1.0,0.4444444444444444,0.6153846153846154
modelo_2,3,head,3,0.00075,4098,0.5098606097070795,0.7733333333333333,0.7755102040816326,0.6229508196721312,0.6909090909090909,0.5236769417921702,0.7441860465116279,1.0,0.3888888888888889,0.56
modelo_2,4,head,4,0.00075,4098,0.504836728698329,0.7666666666666667,0.7954545454545454,0.5737704918032787,0.6666666666666666,0.496343935529391,0.7209302325581395,1.0,0.3333333333333333,0.5
modelo_2,5,head,5,0.00075,4098,0.4464801220517409,0.8066666666666666,0.7424242424242424,0.8032786885245902,0.7716535433070866,0.4561207592487335,0.7906976744186046,1.0,0.5,0.6666666666666666
modelo_2,6,finetune,1,5e-05,14968834,0.4571666356764342,0.7866666666666666,0.7230769230769231,0.7704918032786885,0.746031746031746,0.4177730257312457,0.8837209302325582,1.0,0.7222222222222222,0.8387096774193549
modelo_2,7,finetune,2,5e-05,14968834,0.3740931639545842,0.8866666666666667,0.84375,0.8852459016393442,0.864,0.4023882249991099,0.8372093023255814,1.0,0.6111111111111112,0.7586206896551724
modelo_2,8,finetune,3,5e-05,14968834,0.32182146687256663,0.8866666666666667,0.8666666666666667,0.8524590163934426,0.859504132231405,0.35315050929784775,0.8837209302325582,1.0,0.7222222222222222,0.8387096774193549
modelo_2,9,finetune,4,5e-05,14968834,0.2848462744763023,0.8933333333333333,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.3651074171066284,0.8372093023255814,1.0,0.6111111111111112,0.7586206896551724
modelo_2,10,finetune,5,5e-05,14968834,0.27428954878920003,0.9333333333333333,0.9322033898305084,0.9016393442622951,0.9166666666666666,0.3640945255756378,0.8837209302325582,1.0,0.7222222222222222,0.8387096774193549
modelo_2,11,finetune,6,5e-05,14968834,0.23295966026030088,0.9333333333333333,0.8923076923076924,0.9508196721311475,0.9206349206349206,0.389261644333601,0.813953488372093,1.0,0.5555555555555556,0.7142857142857143
modelo_2,12,finetune,7,5e-05,14968834,0.2238525677668421,0.9266666666666666,0.9032258064516129,0.9180327868852459,0.9105691056910569,0.3352494314312935,0.8604651162790697,1.0,0.6666666666666666,0.8
modelo_2,13,finetune,8,5e-05,14968834,0.18953874687615194,0.9533333333333334,0.921875,0.9672131147540983,0.944,0.35452278579274815,0.813953488372093,1.0,0.5555555555555556,0.7142857142857143
modelo_2,14,finetune,9,5e-05,14968834,0.16743146196792,0.98,0.953125,1.0,0.976,0.3138387141128381,0.8837209302325582,0.9333333333333333,0.7777777777777778,0.8484848484848485
modelo_2,15,finetune,10,5e-05,14968834,0.1426589951703423,0.9666666666666667,0.9516129032258065,0.9672131147540983,0.959349593495935,0.3255886596937974,0.8604651162790697,1.0,0.6666666666666666,0.8
